bd-15c.11	task	0	repair_durability	S/A	25	1.1 RaptorQ + 12.13 Change-point + 11.11 PoR
bd-15c.5	task	0	general	B	9	0.8 Runtime Decision Core + 0.19 Evidence Ledger
bd-2s4	epic	0	runtime_backpressure	A	16	0.5 Graceful Degradation + 10.3 Learning-Augmented Online + 12.13 Change-point
bd-huh	epic	0	format_path	A	10.666666666666666	8.16 SSI certification + 5.1 Typestate + 0.15 Tail decomposition
bd-15c	epic	0	repair_durability	S/A	25	1.1 RaptorQ + 12.13 Change-point + 11.11 PoR
bd-3tz.2	task	1	runtime_backpressure	A	16	0.5 Graceful Degradation + 10.3 Learning-Augmented Online + 12.13 Change-point
bd-22w.10	task	1	concurrency_perf	S/A	13.333333333333334	14.10 EBR + 15.1 S3-FIFO + 15.4 Parallel WAL
bd-14jb.5	task	1	concurrency_perf	S/A	13.333333333333334	14.10 EBR + 15.1 S3-FIFO + 15.4 Parallel WAL
bd-5s0r.5	task	1	repair_durability	S/A	25	1.1 RaptorQ + 12.13 Change-point + 11.11 PoR
bd-6tme.2	task	1	concurrency_perf	S/A	13.333333333333334	14.10 EBR + 15.1 S3-FIFO + 15.4 Parallel WAL
bd-6tme.1	task	1	general	B	9	0.8 Runtime Decision Core + 0.19 Evidence Ledger
bd-32yn.7	task	1	quality_assurance	A	50	0.1 Optimization Loop + 0.7 Artifact Contract + 6.12 Proptest
bd-32yn.6	task	1	quality_assurance	A	50	0.1 Optimization Loop + 0.7 Artifact Contract + 6.12 Proptest
bd-32yn.5	task	1	general	B	9	0.8 Runtime Decision Core + 0.19 Evidence Ledger
bd-32yn.3	task	1	quality_assurance	A	50	0.1 Optimization Loop + 0.7 Artifact Contract + 6.12 Proptest
bd-32yn.2	task	1	repair_durability	S/A	25	1.1 RaptorQ + 12.13 Change-point + 11.11 PoR
bd-32yn	epic	1	quality_assurance	A	50	0.1 Optimization Loop + 0.7 Artifact Contract + 6.12 Proptest
bd-2jk.11	task	1	repair_durability	S/A	25	1.1 RaptorQ + 12.13 Change-point + 11.11 PoR
bd-2jk.10	task	1	runtime_backpressure	A	16	0.5 Graceful Degradation + 10.3 Learning-Augmented Online + 12.13 Change-point
bd-5s0r	epic	1	concurrency_perf	S/A	13.333333333333334	14.10 EBR + 15.1 S3-FIFO + 15.4 Parallel WAL
bd-14jb	epic	1	concurrency_perf	S/A	13.333333333333334	14.10 EBR + 15.1 S3-FIFO + 15.4 Parallel WAL
bd-2s4.5	task	1	runtime_backpressure	A	16	0.5 Graceful Degradation + 10.3 Learning-Augmented Online + 12.13 Change-point
bd-15c.12	task	1	repair_durability	S/A	25	1.1 RaptorQ + 12.13 Change-point + 11.11 PoR
bd-15c.10	task	1	repair_durability	S/A	25	1.1 RaptorQ + 12.13 Change-point + 11.11 PoR
